time, Quad.Est.E.Pos, Quad.Est.S.Z
2.020036,0.120250,0.335501
2.025036,0.120067,0.335677
2.030035,0.119955,0.335795
2.035035,0.119770,0.335974
2.040035,0.119658,0.336093
2.045034,0.119466,0.336272
2.050034,0.119339,0.336393
2.055033,0.119149,0.336574
2.060033,0.118990,0.336695
2.065033,0.118786,0.336878
2.070032,0.118747,0.337001
2.075032,0.118570,0.337185
2.080032,0.118518,0.337308
2.085031,0.118354,0.337494
2.090031,0.118101,0.337619
2.095031,0.117909,0.337807
2.100030,0.117860,0.337932
2.105030,0.129390,0.336803
2.110029,0.129584,0.336919
2.115029,0.129861,0.337093
2.120029,0.130136,0.337210
2.125028,0.130395,0.337386
2.130028,0.130590,0.337504
2.135028,0.130838,0.337681
2.140027,0.130979,0.337800
2.145027,0.131247,0.337979
2.150027,0.131437,0.338098
2.155026,0.131718,0.338279
2.160026,0.131891,0.338400
2.165025,0.132164,0.338582
2.170025,0.132476,0.338704
2.175025,0.132785,0.338887
2.180024,0.132783,0.339010
2.185024,0.133046,0.339196
2.190024,0.133072,0.339320
2.195023,0.133304,0.339506
2.200023,0.133670,0.339632
2.205023,0.133446,0.338505
2.210022,0.133483,0.338621
2.215022,0.133689,0.338794
2.220021,0.133863,0.338911
2.225021,0.134058,0.339086
2.230021,0.134103,0.339203
2.235020,0.134324,0.339380
2.240020,0.134485,0.339498
2.245020,0.134691,0.339676
2.250019,0.134844,0.339796
2.255019,0.135073,0.339975
2.260019,0.135334,0.340096
2.265018,0.135616,0.340277
2.270018,0.135809,0.340399
2.275017,0.136098,0.340581
2.280017,0.136164,0.340704
2.285017,0.136431,0.340888
2.290016,0.136551,0.341012
2.295016,0.136810,0.341198
2.300016,0.137136,0.341322
2.305015,0.138712,0.340200
2.310015,0.139078,0.340314
2.315015,0.139269,0.340487
2.320014,0.139494,0.340603
2.325014,0.139668,0.340778
2.330014,0.139771,0.340894
2.335013,0.139948,0.341070
2.340013,0.140076,0.341188
2.345012,0.140242,0.341366
2.350012,0.140316,0.341484
2.355012,0.140438,0.341663
2.360011,0.140538,0.341783
2.365011,0.140666,0.341964
2.370011,0.140653,0.342085
2.375010,0.140751,0.342267
2.380010,0.140956,0.342389
2.385010,0.141081,0.342572
2.390009,0.141728,0.342695
2.395009,0.141953,0.342881
2.400008,0.142211,0.343005
2.405008,0.163990,0.341885
2.410008,0.164155,0.342000
2.415007,0.164561,0.342172
2.420007,0.164895,0.342287
2.425007,0.165294,0.342461
2.430006,0.165447,0.342577
2.435006,0.165892,0.342753
2.440006,0.166178,0.342870
2.445005,0.166638,0.343047
2.450005,0.166898,0.343165
2.455004,0.167308,0.343343
2.460004,0.167642,0.343463
2.465004,0.168080,0.343642
2.470003,0.168420,0.343763
2.475003,0.168872,0.343944
2.480003,0.169214,0.344065
2.485002,0.169677,0.344248
2.490002,0.169848,0.344371
2.495002,0.170288,0.344555
2.500001,0.170632,0.344679
2.505001,0.165981,0.343563
2.510000,0.166363,0.343677
2.515000,0.166647,0.343848
2.520000,0.166746,0.343963
2.524999,0.167054,0.344136
2.529999,0.167366,0.344252
2.534999,0.167644,0.344427
2.539998,0.167804,0.344543
2.544998,0.168108,0.344719
2.549998,0.168304,0.344837
2.554997,0.168598,0.345015
2.559997,0.168786,0.345134
2.564996,0.169080,0.345313
2.569996,0.169191,0.345432
2.574996,0.169463,0.345613
2.579995,0.169900,0.345734
2.584995,0.170232,0.345916
2.589995,0.170427,0.346038
2.594994,0.170758,0.346222
2.599994,0.170904,0.346345
2.604994,0.172892,0.345232
2.609993,0.173109,0.345346
2.614993,0.173544,0.345517
2.619992,0.173865,0.345631
2.624992,0.174298,0.345803
2.629992,0.174520,0.345919
2.634991,0.174982,0.346093
2.639991,0.175267,0.346209
2.644991,0.175760,0.346384
2.649990,0.176038,0.346501
2.654990,0.176458,0.346678
2.659990,0.176874,0.346797
2.664989,0.177360,0.346975
2.669989,0.177549,0.347094
2.674989,0.178000,0.347274
2.679988,0.178303,0.347394
2.684988,0.178757,0.347576
2.689987,0.179011,0.347697
